"major_head","head_name","head_name_en","Category","level","year","value"
"2045","वस्तुओं तथा सेवाओं पर अन्य कर तथा शुल्क","Other Taxes & Duties on Commodities and Services","Voted","Detail","2022-23",4377.47
"2045","वस्तुओं तथा सेवाओं पर अन्य कर तथा शुल्क","Other Taxes & Duties on Commodities and Services","Voted","Detail","2023-24 (BE)",4876.36
"2045","वस्तुओं तथा सेवाओं पर अन्य कर तथा शुल्क","Other Taxes & Duties on Commodities and Services","Voted","Detail","2023-24 (RE)",4063.12
"2045","वस्तुओं तथा सेवाओं पर अन्य कर तथा शुल्क","Other Taxes & Duties on Commodities and Services","Voted","Detail","2024-25",5395.09
"2045","वस्तुओं तथा सेवाओं पर अन्य कर तथा शुल्क","Other Taxes & Duties on Commodities and Services","Charged","Detail","2022-23",185.67
"2045","वस्तुओं तथा सेवाओं पर अन्य कर तथा शुल्क","Other Taxes & Duties on Commodities and Services","Charged","Detail","2023-24 (BE)",199.6
"2045","वस्तुओं तथा सेवाओं पर अन्य कर तथा शुल्क","Other Taxes & Duties on Commodities and Services","Charged","Detail","2023-24 (RE)",149.7
"2045","वस्तुओं तथा सेवाओं पर अन्य कर तथा शुल्क","Other Taxes & Duties on Commodities and Services","Charged","Detail","2024-25",215.57
"2049","ब्याज अदायगियां","Interest Payments","Voted","Detail","2022-23",0
"2049","ब्याज अदायगियां","Interest Payments","Voted","Detail","2023-24 (BE)",0
"2049","ब्याज अदायगियां","Interest Payments","Voted","Detail","2023-24 (RE)",0
"2049","ब्याज अदायगियां","Interest Payments","Voted","Detail","2024-25",0
"2049","ब्याज अदायगियां","Interest Payments","Charged","Detail","2022-23",326798.59
"2049","ब्याज अदायगियां","Interest Payments","Charged","Detail","2023-24 (BE)",289306.83
"2049","ब्याज अदायगियां","Interest Payments","Charged","Detail","2023-24 (RE)",289306.83
"2049","ब्याज अदायगियां","Interest Payments","Charged","Detail","2024-25",251643.66
"2059","लोक निर्माण कार्य","Public Works","Voted","Detail","2022-23",0
"2059","लोक निर्माण कार्य","Public Works","Voted","Detail","2023-24 (BE)",25
"2059","लोक निर्माण कार्य","Public Works","Voted","Detail","2023-24 (RE)",25
"2059","लोक निर्माण कार्य","Public Works","Voted","Detail","2024-25",25
"2071","पेंशन तथा अन्य सेवा निवृत्ति हित लाभ","Pensions and Other Retirement Benefits","Voted","Detail","2022-23",1631.84
"2071","पेंशन तथा अन्य सेवा निवृत्ति हित लाभ","Pensions and Other Retirement Benefits","Voted","Detail","2023-24 (BE)",400000
"2071","पेंशन तथा अन्य सेवा निवृत्ति हित लाभ","Pensions and Other Retirement Benefits","Voted","Detail","2023-24 (RE)",340000
"2071","पेंशन तथा अन्य सेवा निवृत्ति हित लाभ","Pensions and Other Retirement Benefits","Voted","Detail","2024-25",450000
"2801","बिजली","Power","Voted","Detail","2022-23",2788481.05
"2801","बिजली","Power","Voted","Detail","2023-24 (BE)",2646270
"2801","बिजली","Power","Voted","Detail","2023-24 (RE)",3115027
"2801","बिजली","Power","Voted","Detail","2024-25",2530000
"2801","राजस्व खाता कुल","Revenue Account Total","Voted","Revenue Total","2022-23",2794490.36
"2801","राजस्व खाता कुल","Revenue Account Total","Voted","Revenue Total","2023-24 (BE)",3051171.36
