"major_head","head_name","head_name_en","Type","2022-23","2023-24 (BE)","2023-24 (RE)","2024-25"
"2045","वस्तुओं तथा सेवाओं पर अन्य कर तथा शुल्क","Other Taxes & Duties on Commodities and Services","Charged",185.67,199.6,149.7,215.57
"2045","वस्तुओं तथा सेवाओं पर अन्य कर तथा शुल्क","Other Taxes & Duties on Commodities and Services","Voted",4377.47,4876.36,4063.12,5395.09
"2049","ब्याज अदायगियां","Interest Payments","Charged",326798.59,289306.83,289306.83,251643.66
"2049","ब्याज अदायगियां","Interest Payments","Voted",0,0,0,0
"2059","लोक निर्माण कार्य","Public Works","Voted",0,25,25,25
"2071","पेंशन तथा अन्य सेवा निवृत्ति हित लाभ","Pensions and Other Retirement Benefits","Voted",1631.84,400000,340000,450000
"2801","बिजली","Power","Voted",2788481.05,2646270,3115027,2530000
"4801","बिजली परियोजनाओं पर पूंजीगत व्यय","Capital Outlay on Power Projects","Voted",960781.35,1543160.72,1906437.72,1896361.37
"6003","राज्य सरकार का आन्तरिक ऋण","Internal Debt of State Government","Charged",440596.8,440583.56,440583.56,440583.96
"6003","राज्य सरकार का आन्तरिक ऋण","Internal Debt of State Government","Voted",0,0,0,0
"6801","बिजली परियोजनाओं के लिए ऋण","Loans for Power Projects","Voted",0,102000,102000,80549
"2801","राजस्व खाता कुल","Revenue Account Total","Charged",326984.26,289506.43,289456.53,251859.23
"2801","राजस्व खाता कुल","Revenue Account Total","Voted",2794490.36,3051171.36,3459115.12,2985420.09
"6801","पूंजी खाता कुल","Capital Account Total","Charged",440596.8,440583.56,440583.56,440583.96
"6801","पूंजी खाता कुल","Capital Account Total","Voted",960781.35,1645160.72,2008437.72,1976910.37
"6801","कुल योग","Grand Total","Charged",767581.06,730089.99,730040.09,692443.19
"6801","कुल योग","Grand Total","Voted",3755271.71,4696332.08,5467552.84,4962330.46
