"major_head","sub_head","sub_sub","row_type","item_code","description_hi","description_en","Actuals_22_23","BE_23_24","RE_23_24","BE_24_25"
"2045","103","03","Item","01","वेतन","Salary",1800.2,1800,1350,1900
"2045","103","03","Item","02","मजदूरी","Wages",1.71,4,4,4
"2045","103","03","Item","03","महंगाई भत्ता","Dearness Allowance",649.47,810,607.5,1045
"2045","103","03","Item","04","यात्रा व्यय","Travel Expenses",7.33,25,25,25
"2045","103","03","Item","05","स्थानांतरण यात्रा व्यय","Transfer Travel Expenses",5.88,6,6,10
"2045","103","03","Item","06","अन्य भत्ते","Other Allowances",0.32,1,1,1
"2045","103","03","Item","07","मानदेय","Honorarium",0,1,1,1
"2045","103","03","Item","08","कार्यालय व्यय","Office Expenses",12.21,40,40,40
"2045","103","03","Item","09","विद्युत शुल्क","Electricity Charges",24.91,25,25,25
"2045","103","03","Item","10","जल शुल्क","Water Charges",9.82,10,10,10
"2045","103","03","Item","11","लेखन सामग्री","Stationery and Printing",9.91,30,30,30
"2045","103","03","Item","12","फर्नीचर एवं उपकरण","Office Furniture and Equipment",24.1,50,50,50
"2045","103","03","Item","13","टेलीफोन व्यय","Telephone Expenses",8.37,15,15,30
"2045","103","03","Item","15","वाहन रखरखाव","Vehicle Maintenance and Fuel",18.77,45,45,45
"2045","103","03","Item","16","व्यावसायिक सेवाएं","Professional Services",0.11,1,1,2
"2045","103","03","Item","17","किराया एवं कर","Rent, Rates and Taxes",57.47,75,75,75
"2045","103","03","Item","18","प्रकाशन","Publications",0,1,1,1
"2045","103","03","Item","26","मशीनरी एवं उपकरण","Machinery and Equipment",5.28,7,7,10
"2045","103","03","Item","44","प्रशिक्षण व्यय","Training Travel Expenses",0.42,1,1,1
"2045","103","03","Item","45","विकास यात्रा","Development Travel Expenses",0,1,1,1
"2045","103","03","Item","46","कंप्यूटर खरीद","Computer Hardware/Software Purchase",49.58,70,70,70
"2045","103","03","Item","47","कंप्यूटर रखरखाव","Computer Maintenance",12.48,20,20,20
"2045","103","03","Item","49","चिकित्सा व्यय","Medical Expenses",30,50,50,50
"2045","103","03","Item","51","विदेश व्यय","Foreign Expenses",0.29,1,1,1
"2045","103","03","Item","55","मकान किराया भत्ता","House Rent Allowance",125.2,115,115,115
"2045","103","03","Item","58","आउटसोर्स सेवाएं","Outsourced Services",62.4,65,65,65
"2045","103","03","Total",NA,"योग","Total",2916.23,3269,2616.5,3627
